ticker,exchange,side,quantity,account,orderType,limit,broker,strategy
MU,US,B,7,21386427-3,MKT,,BMTB,SOR
KFRC,US,SS,2,21386427-4,MKT,,BMTB,SOR
PODD,US,B,1,21386427-3,MKT,,BMTB,SOR
ADBE,US,B,2,21386427-3,MKT,,BMTB,SOR
KKR,US,B,1,21386427-3,MKT,,BMTB,SOR
BXP,US,SS,21,21386427-4,MKT,,BMTB,SOR
GLUU,US,SS,105,21386427-4,MKT,,BMTB,SOR
VLO,US,B,4,21386427-3,MKT,,BMTB,SOR
SAIA,US,SS,7,21386427-4,MKT,,BMTB,SOR
GD,US,B,1,21386427-3,MKT,,BMTB,SOR
DAL,US,B,5,21386427-3,MKT,,BMTB,SOR
MS,US,B,7,21386427-3,MKT,,BMTB,SOR
VEEV,US,B,2,21386427-3,MKT,,BMTB,SOR
DTE,US,SS,22,21386427-4,MKT,,BMTB,SOR
PFE,US,B,9,21386427-3,MKT,,BMTB,SOR
MATW,US,SS,3,21386427-4,MKT,,BMTB,SOR
GM,US,B,9,21386427-3,MKT,,BMTB,SOR
WYNN,US,B,3,21386427-3,MKT,,BMTB,SOR
HEAR,US,SS,1,21386427-4,MKT,,BMTB,SOR
KHC,US,B,10,21386427-3,MKT,,BMTB,SOR
BL,US,SS,16,21386427-4,MKT,,BMTB,SOR
ATVI,US,B,6,21386427-3,MKT,,BMTB,SOR
AAPL,US,B,1,21386427-3,MKT,,BMTB,SOR
TTWO,US,SS,18,21386427-4,MKT,,BMTB,SOR
NOC,US,B,1,21386427-3,MKT,,BMTB,SOR
CMTL,US,SS,5,21386427-4,MKT,,BMTB,SOR
GS,US,B,1,21386427-3,MKT,,BMTB,SOR
LMT,US,B,1,21386427-3,MKT,,BMTB,SOR
ALNY,US,B,1,21386427-3,MKT,,BMTB,SOR
EBAY,US,B,8,21386427-3,MKT,,BMTB,SOR
RMAX,US,SS,2,21386427-4,MKT,,BMTB,SOR
W,US,SS,25,21386427-4,MKT,,BMTB,SOR
DMRC,US,SS,1,21386427-4,MKT,,BMTB,SOR
EFX,US,SS,1,21386427-4,MKT,,BMTB,SOR
NTGR,US,B,1,21386427-3,MKT,,BMTB,SOR
PANW,US,B,1,21386427-3,MKT,,BMTB,SOR
SNPS,US,B,3,21386427-3,MKT,,BMTB,SOR
NFLX,US,B,1,21386427-3,MKT,,BMTB,SOR
UTX,US,B,3,21386427-3,MKT,,BMTB,SOR
MSFT,US,B,2,21386427-3,MKT,,BMTB,SOR
BA,US,SS,7,21386427-4,MKT,,BMTB,SOR
TXMD,US,SS,98,21386427-4,MKT,,BMTB,SOR
F,US,B,32,21386427-3,MKT,,BMTB,SOR
TWTR,US,B,8,21386427-3,MKT,,BMTB,SOR
X,US,B,33,21386427-3,MKT,,BMTB,SOR
SSP,US,B,1,21386427-3,MKT,,BMTB,SOR
SYMC,US,B,14,21386427-3,MKT,,BMTB,SOR
AMD,US,B,10,21386427-3,MKT,,BMTB,SOR
SRE,US,SS,20,21386427-4,MKT,,BMTB,SOR
TPCO,US,SS,1,21386427-4,MKT,,BMTB,SOR
AA,US,B,15,21386427-3,MKT,,BMTB,SOR
WFC,US,SS,60,21386427-4,MKT,,BMTB,SOR
MPC,US,SS,49,21386427-4,MKT,,BMTB,SOR
FDX,US,B,2,21386427-3,MKT,,BMTB,SOR
DOCU,US,SS,48,21386427-4,MKT,,BMTB,SOR
WYND,US,SS,11,21386427-4,MKT,,BMTB,SOR
GPRO,US,B,11,21386427-3,MKT,,BMTB,SOR
GE,US,B,34,21386427-3,MKT,,BMTB,SOR
NTAP,US,B,6,21386427-3,MKT,,BMTB,SOR
TELL,US,B,3,21386427-3,MKT,,BMTB,SOR
RARX,US,SS,9,21386427-4,MKT,,BMTB,SOR
CYTK,US,B,1,21386427-3,MKT,,BMTB,SOR
PI,US,SS,9,21386427-4,MKT,,BMTB,SOR
AUB,US,SS,2,21386427-4,MKT,,BMTB,SOR
HON,US,B,2,21386427-3,MKT,,BMTB,SOR
OSTK,US,SS,237,21386427-4,MKT,,BMTB,SOR
LQDT,US,SS,2,21386427-4,MKT,,BMTB,SOR
LOW,US,B,3,21386427-3,MKT,,BMTB,SOR
VFC,US,B,3,21386427-3,MKT,,BMTB,SOR
NKE,US,SS,25,21386427-4,MKT,,BMTB,SOR
SKX,US,SS,50,21386427-4,MKT,,BMTB,SOR
RAD,US,B,22,21386427-3,MKT,,BMTB,SOR
CPB,US,SS,63,21386427-4,MKT,,BMTB,SOR
TSLA,US,B,1,21386427-3,MKT,,BMTB,SOR
GWRE,US,B,1,21386427-3,MKT,,BMTB,SOR
OKTA,US,B,3,21386427-3,MKT,,BMTB,SOR
WSC,US,SS,6,21386427-4,MKT,,BMTB,SOR
CAT,US,B,3,21386427-3,MKT,,BMTB,SOR
MDP,US,B,1,21386427-3,MKT,,BMTB,SOR
CARB,US,SS,26,21386427-4,MKT,,BMTB,SOR
C,US,B,4,21386427-3,MKT,,BMTB,SOR
CAH,US,SS,62,21386427-4,MKT,,BMTB,SOR
MAR,US,B,2,21386427-3,MKT,,BMTB,SOR
NTNX,US,B,14,21386427-3,MKT,,BMTB,SOR
JCP,US,B,41,21386427-3,MKT,,BMTB,SOR
PSX,US,SS,28,21386427-4,MKT,,BMTB,SOR
RLGY,US,SS,13,21386427-4,MKT,,BMTB,SOR
DBX,US,B,8,21386427-3,MKT,,BMTB,SOR
ORCL,US,B,34,21386427-3,MKT,,BMTB,SOR
VRTU,US,BS,5,21386427-4,MKT,,BMTB,SOR
HWC,US,BS,12,21386427-4,MKT,,BMTB,SOR
BXS,US,BS,11,21386427-4,MKT,,BMTB,SOR
WETF,US,BS,27,21386427-4,MKT,,BMTB,SOR
SHAK,US,BS,28,21386427-4,MKT,,BMTB,SOR
APD,US,BS,14,21386427-4,MKT,,BMTB,SOR
AKS,US,BS,475,21386427-4,MKT,,BMTB,SOR
TRIP,US,BS,16,21386427-4,MKT,,BMTB,SOR
LLY,US,BS,5,21386427-4,MKT,,BMTB,SOR
LGIH,US,BS,8,21386427-4,MKT,,BMTB,SOR
LNG,US,BS,38,21386427-4,MKT,,BMTB,SOR
SAM,US,BS,6,21386427-4,MKT,,BMTB,SOR
AAXN,US,BS,19,21386427-4,MKT,,BMTB,SOR
COWN,US,BS,5,21386427-4,MKT,,BMTB,SOR
NAV,US,BS,28,21386427-4,MKT,,BMTB,SOR
AKAM,US,BS,36,21386427-4,MKT,,BMTB,SOR
FITB,US,BS,119,21386427-4,MKT,,BMTB,SOR
WCC,US,BS,4,21386427-4,MKT,,BMTB,SOR
SFNC,US,BS,11,21386427-4,MKT,,BMTB,SOR
HPQ,US,BS,178,21386427-4,MKT,,BMTB,SOR
MGM,US,BS,115,21386427-4,MKT,,BMTB,SOR
SPG,US,BS,21,21386427-4,MKT,,BMTB,SOR
DLTR,US,BS,28,21386427-4,MKT,,BMTB,SOR
SPWR,US,BS,121,21386427-4,MKT,,BMTB,SOR
BLBD,US,BS,1,21386427-4,MKT,,BMTB,SOR
TIVO,US,BS,25,21386427-4,MKT,,BMTB,SOR
GIII,US,BS,25,21386427-4,MKT,,BMTB,SOR
TRHC,US,BS,9,21386427-4,MKT,,BMTB,SOR
VSH,US,BS,31,21386427-4,MKT,,BMTB,SOR
LM,US,BS,14,21386427-4,MKT,,BMTB,SOR
PMT,US,BS,29,21386427-4,MKT,,BMTB,SOR
IRET,US,BS,1,21386427-4,MKT,,BMTB,SOR
ETFC,US,BS,74,21386427-4,MKT,,BMTB,SOR
FSS,US,BS,15,21386427-4,MKT,,BMTB,SOR
SCHW,US,BS,77,21386427-4,MKT,,BMTB,SOR
AEO,US,BS,199,21386427-4,MKT,,BMTB,SOR
ITW,US,BS,21,21386427-4,MKT,,BMTB,SOR
VAC,US,BS,8,21386427-4,MKT,,BMTB,SOR
AEIS,US,BS,7,21386427-4,MKT,,BMTB,SOR
MOH,US,BS,15,21386427-4,MKT,,BMTB,SOR
AMAT,US,BS,64,21386427-4,MKT,,BMTB,SOR
BKI,US,BS,10,21386427-4,MKT,,BMTB,SOR
ADTN,US,BS,7,21386427-4,MKT,,BMTB,SOR
PEI,US,BS,85,21386427-4,MKT,,BMTB,SOR
ORA,US,BS,6,21386427-4,MKT,,BMTB,SOR
TTC,US,BS,8,21386427-4,MKT,,BMTB,SOR
CR,US,BS,3,21386427-4,MKT,,BMTB,SOR
FDEF,US,BS,5,21386427-4,MKT,,BMTB,SOR
PCTY,US,BS,10,21386427-4,MKT,,BMTB,SOR
AZZ,US,BS,3,21386427-4,MKT,,BMTB,SOR
LYV,US,BS,26,21386427-4,MKT,,BMTB,SOR
AAWW,US,BS,16,21386427-4,MKT,,BMTB,SOR
FL,US,BS,15,21386427-4,MKT,,BMTB,SOR
CDNA,US,BS,17,21386427-4,MKT,,BMTB,SOR
AROC,US,BS,31,21386427-4,MKT,,BMTB,SOR
GNRC,US,BS,26,21386427-4,MKT,,BMTB,SOR
EXTR,US,BS,30,21386427-4,MKT,,BMTB,SOR
WPX,US,BS,311,21386427-4,MKT,,BMTB,SOR
SNV,US,BS,30,21386427-4,MKT,,BMTB,SOR
UNVR,US,BS,50,21386427-4,MKT,,BMTB,SOR
GABC,US,BS,1,21386427-4,MKT,,BMTB,SOR
GKOS,US,BS,18,21386427-4,MKT,,BMTB,SOR
ENPH,US,BS,132,21386427-4,MKT,,BMTB,SOR
GNL,US,BS,37,21386427-4,MKT,,BMTB,SOR
DEA,US,BS,22,21386427-4,MKT,,BMTB,SOR
MSI,US,BS,19,21386427-4,MKT,,BMTB,SOR
LPSN,US,BS,26,21386427-4,MKT,,BMTB,SOR
PJT,US,BS,2,21386427-4,MKT,,BMTB,SOR
OKE,US,BS,44,21386427-4,MKT,,BMTB,SOR
CREE,US,BS,65,21386427-4,MKT,,BMTB,SOR
IFF,US,BS,26,21386427-4,MKT,,BMTB,SOR
CBT,US,BS,7,21386427-4,MKT,,BMTB,SOR
VRSK,US,BS,20,21386427-4,MKT,,BMTB,SOR
AJRD,US,BS,12,21386427-4,MKT,,BMTB,SOR
UCFC,US,BS,16,21386427-4,MKT,,BMTB,SOR
SMTC,US,BS,14,21386427-4,MKT,,BMTB,SOR
BRKS,US,BS,10,21386427-4,MKT,,BMTB,SOR
AWK,US,BS,26,21386427-4,MKT,,BMTB,SOR
LW,US,BS,8,21386427-4,MKT,,BMTB,SOR
WSM,US,BS,9,21386427-4,MKT,,BMTB,SOR
MDC,US,BS,15,21386427-4,MKT,,BMTB,SOR
CLR,US,BS,100,21386427-4,MKT,,BMTB,SOR
ENR,US,BS,14,21386427-4,MKT,,BMTB,SOR
EW,US,BS,14,21386427-4,MKT,,BMTB,SOR
VBTX,US,BS,9,21386427-4,MKT,,BMTB,SOR
ALXN,US,BS,32,21386427-4,MKT,,BMTB,SOR
IRT,US,BS,16,21386427-4,MKT,,BMTB,SOR
MAN,US,BS,9,21386427-4,MKT,,BMTB,SOR
AAL,US,BS,119,21386427-4,MKT,,BMTB,SOR
CMC,US,BS,41,21386427-4,MKT,,BMTB,SOR
VER,US,BS,66,21386427-4,MKT,,BMTB,SOR
CLF,US,BS,448,21386427-4,MKT,,BMTB,SOR
NOW,US,BS,12,21386427-4,MKT,,BMTB,SOR
WU,US,BS,142,21386427-4,MKT,,BMTB,SOR
LOGM,US,BS,10,21386427-4,MKT,,BMTB,SOR
DD,US,BS,46,21386427-4,MKT,,BMTB,SOR
FCX,US,BS,328,21386427-4,MKT,,BMTB,SOR
CCXI,US,BS,10,21386427-4,MKT,,BMTB,SOR
AEE,US,BS,41,21386427-4,MKT,,BMTB,SOR
FTV,US,BS,48,21386427-4,MKT,,BMTB,SOR
POR,US,BS,20,21386427-4,MKT,,BMTB,SOR
DDD,US,BS,42,21386427-4,MKT,,BMTB,SOR
SAVE,US,BS,17,21386427-4,MKT,,BMTB,SOR
ILMN,US,BS,11,21386427-4,MKT,,BMTB,SOR
EVOP,US,BS,7,21386427-4,MKT,,BMTB,SOR
CDW,US,BS,27,21386427-4,MKT,,BMTB,SOR
FLDM,US,BS,21,21386427-4,MKT,,BMTB,SOR
XELA,US,BS,4,21386427-4,MKT,,BMTB,SOR
SABR,US,BS,29,21386427-4,MKT,,BMTB,SOR
CF,US,BS,59,21386427-4,MKT,,BMTB,SOR
PAG,US,BS,4,21386427-4,MKT,,BMTB,SOR
DVA,US,BS,56,21386427-4,MKT,,BMTB,SOR
LNDC,US,BS,3,21386427-4,MKT,,BMTB,SOR
MDRX,US,BS,40,21386427-4,MKT,,BMTB,SOR
PXD,US,BS,25,21386427-4,MKT,,BMTB,SOR
MDR,US,BS,1351,21386427-4,MKT,,BMTB,SOR
MCK,US,BS,23,21386427-4,MKT,,BMTB,SOR
CXO,US,BS,46,21386427-4,MKT,,BMTB,SOR
ARE,US,BS,15,21386427-4,MKT,,BMTB,SOR
BBSI,US,BS,1,21386427-4,MKT,,BMTB,SOR
AJG,US,BS,18,21386427-4,MKT,,BMTB,SOR
AIMT,US,BS,120,21386427-4,MKT,,BMTB,SOR
FIS,US,BS,24,21386427-4,MKT,,BMTB,SOR
CDE,US,BS,344,21386427-4,MKT,,BMTB,SOR
CUTR,US,BS,2,21386427-4,MKT,,BMTB,SOR
PLOW,US,BS,1,21386427-4,MKT,,BMTB,SOR
JACK,US,BS,7,21386427-4,MKT,,BMTB,SOR
JNPR,US,BS,74,21386427-4,MKT,,BMTB,SOR
LAD,US,BS,6,21386427-4,MKT,,BMTB,SOR
